"submission_id","post_id","participant_id","severity","confidence","in_group","honey","copied","time_taken","created_at"
"68dc43b2eebc684785276646","2kw6nd","67be05692b18b631ece5fd2e","3","high","true","false","false","61","2025-09-30 22:12:29.870142+00"
"68dc43b2eebc684785276646","258f5k","67be05692b18b631ece5fd2e","4","low","true","false","false","111","2025-09-30 22:12:30.43366+00"
"68dc43b2eebc684785276646","s3kp9q","67be05692b18b631ece5fd2e","3","high","true","false","false","66","2025-09-30 22:12:30.439329+00"
"68dc43b2eebc684785276646","swu4uz","67be05692b18b631ece5fd2e","1","high","true","false","false","38","2025-09-30 22:12:30.45093+00"
"68dc469bc9828948d0ef6829","2q40c3","5af1c4dfaec2b600010a96c9","3","low","true","false","false","142","2025-09-30 22:20:56.703603+00"
"68de99cdaf75733fac612d70","19dychl","5f97525e873236100b213eaa","3","high","true","false","false","249","2025-10-02 16:59:38.353727+00"
"68de99cdaf75733fac612d70","mkn3pl","5f97525e873236100b213eaa","3","high","true","false","false","172","2025-10-02 16:59:38.38773+00"
"68de9f7b6d91d8dc472349a9","f04b75","65e33239b5fa3ca93950aa67","4","high","true","false","false","57","2025-10-02 17:04:12.332185+00"
"68de9dfd67338dffed7615ef","nmznqg","66d88375799e00b593a8655f","1","high","true","false","false","69","2025-10-02 17:09:50.151126+00"
"68de99c7de90e69772e1ea84","2vr4wx","658301f0c304eb2e12fdcdf5","2","high","true","false","false","54","2025-10-02 17:19:06.161246+00"
"68de99c7de90e69772e1ea84","et3kgk","658301f0c304eb2e12fdcdf5","3","high","true","false","false","109","2025-10-02 17:19:06.173403+00"
"68de99c7de90e69772e1ea84","2cuxm1","658301f0c304eb2e12fdcdf5","0","low","true","false","false","59","2025-10-02 17:19:06.180603+00"
"68de99c7de90e69772e1ea84","1ch2cir","658301f0c304eb2e12fdcdf5","3","high","true","false","false","32","2025-10-02 17:19:06.191397+00"
"68deac4ce48a477ba42b0d71","2vr4wx","5fa4c21a04bc5912180291bc","4","high","false","false","false","22","2025-10-02 18:25:26.36708+00"
"68deac4ce48a477ba42b0d71","vla5fx","5fa4c21a04bc5912180291bc","3","high","false","true","false","55","2025-10-02 18:25:26.411735+00"
"68deac4ce48a477ba42b0d71","14ijgi4","5fa4c21a04bc5912180291bc","1","high","false","false","false","132","2025-10-02 18:25:26.415865+00"
"68deac4ce48a477ba42b0d71","2l4uwu","5fa4c21a04bc5912180291bc","1","high","false","true","false","76","2025-10-02 18:25:26.423374+00"
"68deac4ce48a477ba42b0d71","2dvzvd","5fa4c21a04bc5912180291bc","3","high","false","false","false","164","2025-10-02 18:25:26.428098+00"
"68deac4ce48a477ba42b0d71","igg1t2","5fa4c21a04bc5912180291bc","3","high","false","false","false","47","2025-10-02 18:25:26.436746+00"
"68dead70c2e0e0788dcd40cf","hmgmcd","66343f7910c04370761ae595","4","high","false","false","false","179","2025-10-02 18:54:24.406506+00"
"68dead70c2e0e0788dcd40cf","zgy4h0","66343f7910c04370761ae595","0","high","false","false","false","75","2025-10-02 18:54:24.458121+00"
"68dead70c2e0e0788dcd40cf","2934kr","66343f7910c04370761ae595","4","high","false","false","false","95","2025-10-02 18:54:24.463321+00"
"68dead70c2e0e0788dcd40cf","fag014","66343f7910c04370761ae595","4","high","false","false","false","59","2025-10-02 18:54:24.467839+00"
